Track Name,Artist,Album,Popularity,Duration (minutes)
"Idhu Dhaan - From ""Sivappu Manjal Pachai""",Siddhu Kumar,"Idhu Dhaan (From ""Sivappu Manjal Pachai"")",53,3.1263
"Nee Kavithaigala - From ""Maragatha Naanayam""",Dhibu Ninan Thomas,I Love Pradeep Kumar,57,4.604166666666667
"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",Darbuka Siva,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",69,5.5450333333333335
Nenjukulla Nee,"Vijay Prakash,Diwakar,Ajesh",Vadacurry (Original Motion Picture Soundtrack),0,4.979333333333333
Yennai Maatrum Kadhale,"Anirudh Ravichander,Sid Sriram",Wunderboy Anirudh,0,4.577966666666667
Kadhale Kadhale,Hiphop Tamizha,Indru Netru Naalai (Original Motion Picture Soundtrack),69,3.4511833333333333
Kan Irandil,Vijay Antony,Uthama Puthiran (Original Motion Picture Soundtrack),64,4.516666666666667
"Adiye - From ""Bachelor""",Dhibu Ninan Thomas,"Adiye (From ""Bachelor"")",71,4.533333333333333
Yaen Ennai Pirindhaai,Sid Sriram,Adithya Varma,65,3.3041666666666667
Thaarame Thaarame,Sid Sriram,Kadaram Kondan,67,3.8035666666666668
"Hi Sonna Pothum (From ""Comali"")",Hiphop Tamizha,"Hi Sonna Pothum (From ""Comali"")",63,3.8405
"Kadhaippoma (From ""Oh My Kadavule"")",Leon James,"Kadhaippoma (From ""Oh My Kadavule"")",71,4.7034666666666665
"Usure - From ""Sivappu Manjal Pachai""",Siddhu Kumar,"Usure (From ""Sivappu Manjal Pachai"")",63,3.6666666666666665
Thean Kudika,Teejay,Maze in Idhayam,0,4.240883333333334
"Takkunu Takkunu - From ""Mr. Local""",Hiphop Tamizha,"Takkunu Takkunu (From ""Mr. Local"")",65,3.54545
"Theethiriyaai (From ""Brahmastra (Tamil)"")",Pritam,"Theethiriyaai [From ""Brahmastra (Tamil)""]",53,4.639616666666667
Pogiren,Mugen Rao,Pogiren,61,4.056216666666667
"Pondattee - From ""Golisoda 2""",Achu,"Pondattee (From ""Golisoda 2"")",58,4.173266666666667
Alai Paayum,Ak Akiem,Alai Paayum,46,3.3777666666666666
Kanne Kanne - Madras Gig,Leon James,Kanne Kanne (Madras Gig),48,3.8527666666666667
Thanimai Kadhal,Lovely Rapper Shridhar,Thanimai Kadhal,55,5.033316666666667
"Kaaka Kadha - From ""Think Indie""",vaisagh,"Kaaka Kadha (From ""Think Indie"")",52,3.5
Muttu Muttu,Teejay,Vaanavil the Quest,0,5.549333333333333
Seiley Seiley,Kaushik Krish,Lockdown Kadha,0,3.8
En Rant Ah Konjam Kelu,vaisagh,En Rant Ah Konjam Kelu,0,3.4
Mai Potta Kannala,EJ Brothers,Mai Potta Kannala,53,4.564116666666667
"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,"Enakenna Yaarum Illaye (From ""Aakko"")",63,4.346866666666667
Omiyaa,Teejay,Vaanavil the Quest,0,4.64
Ennai Kollathey,Ztish,Geethaiyin Raadhai,62,5.4008
Enaku Oru Aasai,Teejay,Vaanavil the Quest,0,5.169333333333333
Yaayum,Shabir Sulthan,Sagaa (Original Motion Picture Soundtrack),66,4.77
Naan Sonnadhum Mazhai,Naresh Iyer,Mayakkam Enna,0,5.4985333333333335
"Sandalee - From ""Sema""",Velmurugan,I Love G.V. Prakash Kumar,38,5.390083333333333
Kannala Kannala - The Melting Point of Love,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),71,3.5909333333333335
Malare,Vijay Yesudas,Premam (Original Motion Picture Soundtrack),0,5.27365
Nee Nenacha,Hiphop Tamizha,Mr. Local (Original Motion Picture Soundtrack),61,4.47805
Kanna Veesi,Siddhu Kumar,Kadhal Ondru Kanden,63,2.866233333333333
Pooparikka Neeyum,Shankar Mahadevan,Katrodu Puyalaaga Vandha Shankar Mahadevan,40,4.064
Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),71,3.414433333333333
Oh Penne,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),68,4.6066666666666665
Maya,Mugen Rao,Maya,50,3.2670333333333335
Nee Tholaindhaayo,Leon James,Kavalai Vendam (Original Motion Picture Soundtrack),53,3.71455
Shades of Kadhal,Maran,Shades of Kadhal,49,2.933333333333333
Shoot the Kuruvi,Vishal Chandrashekhar,Jil Jung Juk (Original Motion Picture Soundtrack),42,4.370733333333333
Ambikapathy,A.R. Rahman,Ambikapathy (Original Motion Picture Soundtrack),59,4.272666666666667
Dope Track,Yuvan Shankar Raja,Dope Track (From 'Pyaar Prema Kaadhal' Original Motion Picture Soundtrack),0,4.178066666666667
"Hey Penne (From ""Kattappava Kanom"")",Santhosh Dhayanidhi,"Hey Penne (From ""Kattappava Kanom"")",52,3.32235
"Meherezylaa - From ""Maanaadu""",Yuvan Shankar Raja,"Meherezylaa (From ""Maanaadu"")",45,4.32
Iragai Poley,Yuvan Shankar Raja,Naan Mahaan Alla (Original Motion Picture Soundtrack),66,5.29565
Voda Voda Voda,Dhanush,Mayakkam Enna,0,4.6063
Ava Enna,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),69,5.308216666666667
Ennamo Yeadho,Harris Jayaraj,KO (Original Motion Picture Soundtrack),66,5.56
"Porkanda Singam (EDM Version) [From ""Vikram""]",Anirudh Ravichander,"Porkanda Singam (EDM Version) [From ""Vikram""]",55,2.49055
Marandhaye,D. Imman,Teddy (Original Motion Picture Soundtrack),55,4.988416666666667
Why This Kolaveri Di? - The Soup of Love,Anirudh Ravichander,Why This Kolaveri Di? (The Soup of Love),67,4.32155
Aathangara Orathil,Harris Jayaraj,Yaan (Original Motion Picture Soundtrack),63,4.4111
Kadhal Kappal,Santhosh Narayanan,Iraivi (Original Motion Picture Soundtrack),59,4.05
Pakkam Vanthu,Anirudh Ravichander,Kaththi (Original Motion Picture Soundtrack),64,4.305983333333334
